Número do Alimento;Categoria;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)
96;Verduras;Berinjela, crua;93,8;19;82;1,2;0,1;NA;4,4;2,9;0,4;9;12;0,1;20;0,2;Tr;204;0,06;0,1;NA;24;12;0,04;0,05;Tr;Tr;3
97;Verduras;Beterraba, cozida;90,6;32;134;1,3;0,1;NA;7,2;1,9;0,8;15;16;0,19;30;0,2;22;245;0,04;0,4;NA;;;0,09;Tr;Tr;Tr;1,2
98;Verduras;Beterraba, crua;86;48;204;1,9;0,1;NA;11,1;3,4;0,9;18;24;1,23;19;0,3;9;375;0,08;0,5;NA;;;0,04;Tr;0,04;Tr;3,1
99;Verduras;Biscoito, polvilho doce;5,4;437;1830;1,3;12,2;9;80,5;1,2;0,5;30;5;0,08;23;1,8;97;53;0,04;0,1;Tr;;;Tr;0,03;0,07;Tr;Tr
100;Verduras;Brócolis, cozido;92,6;24;103;2,1;0,5;NA;4,4;3,4;0,4;50;14;0,12;33;0,5;2;118;0,08;0,2;NA;;;0,04;0,03;Tr;Tr;42
101;Verduras;Brócolis, cru;91,2;25;106;3,6;0,3;NA;4;2,9;0,8;85;29;0,26;78;0,6;3;322;0,06;0,5;NA;279;139;0,12;0,18;0,08;1,39;34,3
102;Verduras;Cará, cozido;78,9;77;324;1,5;0,1;NA;18,9;2,6;0,6;5;14;0,02;27;0,3;1;203;0,11;0,2;NA;;;0,12;Tr;0,12;Tr;Tr
103;Verduras;Cará, cru;73,7;95;400;2,3;0,1;NA;23;7,3;0,9;3;11;0,01;34;0,2;Tr;211;0,06;0,2;NA;;;0,11;Tr;0,02;Tr;8,8
104;Verduras;Caruru, cru;87,6;34;142;3,2;0,6;NA;6;4,5;2,6;455;197;0,89;77;4,5;13;278;0,37;6;NA;1906;953;Tr;0,1;0,11;Tr;5,4
105;Verduras;Catalonha, crua;91,8;23;99;1,9;0,3;NA;4,8;2;1,3;56;17;0,34;32;3,1;9;411;0,27;0,5;NA;;;Tr;0,03;0,36;1,54;7,3
106;Verduras;Catalonha, refogada;87,4;63;265;1,9;4,8;NA;4,8;3,6;1;63;16;0,64;35;1,2;24;452;0,18;0,4;NA;850;425;0,04;Tr;0,03;0,6;Tr
107;Verduras;Cebola, crua;88,9;39;164;1,7;0,1;NA;8,9;2,2;0,4;14;11;0,13;37;0,2;0;176;0,05;0,2;NA;;;0,04;Tr;0,14;Tr;4,7
108;Verduras;Cebolinha, crua;93,9;19;81;1,9;0,3;NA;3,4;3,5;0,5;79;24;0,13;26;0,6;1;206;0,04;0,3;NA;134;67;0,03;0,04;0,08;Tr;31,8
109;Verduras;Cenoura, cozida;91,7;29;124;0,8;0,2;NA;6,7;2,6;0,6;25;14;0,04;26;0,1;7;175;0,01;0,2;NA;612;306;0,07;Tr;0,06;2,68;Tr
110;Verduras;Cenoura, crua;90,1;34;142;1,3;0,2;NA;7,7;3,2;0,9;22;11;0,05;27;0,2;3;314;0,05;0,2;NA;1326;663;Tr;Tr;0,05;Tr;5,1
111;Verduras;Chicória, crua;95,1;13;57;1,1;0,1;NA;2,9;2,2;0,8;44;14;0,13;13;0,5;13;424;0,04;0,1;NA;;;0,03;0,1;Tr;0,68;6,5
112;Verduras;Chuchu, cozido;94,6;18;77;0,4;Tr;NA;4,8;1;0,2;7;6;0,07;12;0,1;1;54;Tr;0,1;NA;;;0,03;Tr;Tr;Tr;5,6
113;Verduras;Chuchu, cru;94,8;16;71;0,7;0,1;NA;4,1;1,3;0,3;11;7;0,08;17;0,2;Tr;125;0,03;0,1;NA; ; ;Tr;Tr;Tr;Tr;10,6
114;Verduras;Coentro, folhas desidratadas;10,6;309;1293;20,9;10,4;NA;48;37,3;10,2;783;392;10,48;388;81,4;18;3222;4,09;4,7;NA;;;0,1;0,11;0,09;Tr;40,8
115;Verduras;Couve, manteiga, crua;90,9;27;113;2,9;0,5;NA;4,3;3,1;1,3;130;34;1,02;48;0,5;6;403;0,06;0,4;NA;496;248;0,2;0,31;0,06;2,29;96,7
116;Verduras;Couve, manteiga, refogada ;81,5;90;378;1,7;6,6;NA;8,7;5,7;1,5;177;26;0,12;33;0,5;11;314;0,02;0,2;NA;384;192;Tr;0,05;0,07;Tr;76,9
117;Verduras;Couve-flor, crua;92,8;22;94;1,9;0,2;NA;4,5;2,4;0,6;17;11;0,16;57;0,5;3;256;0,03;0,3;NA;2;1;0,03;0,09;0,1;Tr;36
118;Verduras;Couve-flor, cozida;94,3;19;79;1,2;0,3;NA;3,9;2,1;0,3;16;5;0,1;25;0,1;1;80;Tr;0,3;NA;;;0,04;Tr;Tr;Tr;23,7
119;Verduras;Espinafre, Nova Zelândia, cru;94;16;67;2;0,2;NA;2,6;2,1;1,2;97;81;0,71;25;0,4;17;336;0,06;0,3;NA;484;242;0,1;0,21;0,06;Tr;2,4
120;Verduras;Espinafre, Nova Zelândia, refogado;86,6;67;281;2,7;5,4;NA;4,2;2,5;1;112;122;0,61;33;0,6;47;149;0,04;0,6;NA;623;311;0,08;0,13;0,13;Tr;5,3
